"13926: Lønnstakere og jobber, etter sektor, næring (SN2007), statistikkvariabel, kvartal og region"

"sektor";"næring (SN2007)";"Antall jobber (arbeidsforhold) 2024K4 0 Hele landet"
"Sum alle sektorer";"86.909 Andre helsetjenester";4709
"Sum alle sektorer";"87.101 Somatiske spesialsykehjem";1877
"Sum alle sektorer";"87.102 Somatiske sykehjem";89528
"Sum alle sektorer";"87.201 Psykiatriske sykehjem";602
"Sum alle sektorer";"87.202 Omsorgsinstitusjoner for rusmiddelmisbrukere";2131
"Sum alle sektorer";"87.203 Bofellesskap for psykisk utviklingshemmede";39553
"Sum alle sektorer";"87.301 Aldershjem";196
"Sum alle sektorer";"87.302 Bofellesskap for eldre og funksjonshemmede med fast tilknyttet personell hele døgnet";37884
"Sum alle sektorer";"87.303 Bofellesskap for eldre og funksjonshemmede med fast tilknyttet personell deler av døgnet";3516
"Sum alle sektorer";"87.304 Avlastningsboliger/-institusjoner";9331
"Sum alle sektorer";"87.305 Barneboliger";1571
"Sum alle sektorer";"87.901 Institusjoner innen barne- og ungdomsvern";10061
"Sum alle sektorer";"87.909 Omsorgsinstitusjoner ellers";3057
"Sum alle sektorer";"88.101 Hjemmehjelp";29287
"Sum alle sektorer";"88.102 Dagsentra/aktivitetssentra for eldre og funksjonshemmede";9198
"Sum alle sektorer";"88.103 Eldresentre";670
"Sum alle sektorer";"88.911 Barnehager";100454
"Sum alle sektorer";"88.912 Barneparker og dagmammaer";37
"Sum alle sektorer";"88.913 Skolefritidsordninger";24434
"Sum alle sektorer";"88.914 Fritidsklubber for barn og ungdom";3240
"Sum alle sektorer";"88.991 Barneverntjenester";14235
"Sum alle sektorer";"88.992 Familieverntjenester";883
"Sum alle sektorer";"88.993 Arbeidstrening for ordinært arbeidsmarked";6742
"Sum alle sektorer";"88.994 Varig tilrettelagt arbeid";7220
"Sum alle sektorer";"88.995 Sosiale velferdsorganisasjoner";4827
"Sum alle sektorer";"88.996 Asylmottak";1782
"Sum alle sektorer";"88.997 Sosialtjenester for rusmiddelmisbrukere uten botilbud";2261
"Sum alle sektorer";"88.998 Kommunale sosialkontortjenester";9884
"Sum alle sektorer";"88.999 Andre sosialtjenester uten botilbud";7495
"Sum alle sektorer";"90.011 Utøvende kunstnere og underholdningsvirksomhet innen musikk";1732
"Sum alle sektorer";"90.012 Utøvende kunstnere og underholdningsvirksomhet innen scenekunst";3683
"Sum alle sektorer";"90.019 Utøvende kunstnere og underholdningsvirksomhet ikke nevnt annet sted";159
"Sum alle sektorer";"90.020 Tjenester tilknyttet underholdningsvirksomhet";3921
"Sum alle sektorer";"90.031 Selvstendig kunstnerisk virksomhet innen visuell kunst";382
"Sum alle sektorer";"90.032 Selvstendig kunstnerisk virksomhet innen musikk";53
"Sum alle sektorer";"90.033 Selvstendig kunstnerisk virksomhet innen scenekunst";76
"Sum alle sektorer";"90.034 Selvstendig kunstnerisk virksomhet innen litteratur";292
"Sum alle sektorer";"90.035 Selvstendig kunstnerisk virksomhet innen blogging";45
"Sum alle sektorer";"90.039 Selvstendig kunstnerisk virksomhet ikke nevnt annet sted";33
"Sum alle sektorer";"90.040 Drift av lokaler tilknyttet kunstnerisk virksomhet";2086
"Sum alle sektorer";"91.011 Drift av folkebiblioteker";3254
"Sum alle sektorer";"91.012 Drift av fag- og forskningsbiblioteker";1080
"Sum alle sektorer";"91.013 Drift av arkiver";784
"Sum alle sektorer";"91.021 Drift av kunst- og kunstindustrimuseer";1320
"Sum alle sektorer";"91.022 Drift av kulturhistoriske museer";3749
"Sum alle sektorer";"91.023 Drift av naturhistoriske museer";475
"Sum alle sektorer";"91.029 Drift av museer ikke nevnt annet sted";112
"Sum alle sektorer";"91.030 Drift av historiske steder og bygninger og lignende severdigheter";1054
"Sum alle sektorer";"91.040 Drift av botaniske og zoologiske hager og naturreservater";461
"Sum alle sektorer";"92.000 Lotteri og totalisatorspill";1387
"Sum alle sektorer";"93.110 Drift av idrettsanlegg";7584
"Sum alle sektorer";"93.120 Idrettslag og -klubber";20497
"Sum alle sektorer";"93.130 Treningssentre";11725
"Sum alle sektorer";"93.190 Andre sportsaktiviteter";2047
"Sum alle sektorer";"93.210 Drift av fornøyelses- og temaparker";2294
"Sum alle sektorer";"93.291 Opplevelsesaktiviteter";1318
"Sum alle sektorer";"93.292 Fritidsetablissement";811
"Sum alle sektorer";"93.299 Fritidsvirksomhet ellers";108
"Sum alle sektorer";"94.110 Næringslivs- og arbeidsgiverorganisasjoner";2627
"Sum alle sektorer";"94.120 Yrkessammenslutninger";1697
"Sum alle sektorer";"94.200 Arbeidstakerorganisasjoner";5103
"Sum alle sektorer";"94.910 Religiøse organisasjoner";14483
"Sum alle sektorer";"94.920 Partipolitiske organisasjoner";756
"Sum alle sektorer";"94.991 Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted";10552
"Sum alle sektorer";"94.992 Fond/legat som støtter veldedige og allmennyttige formål";1320
"Sum alle sektorer";"95.110 Reparasjon av datamaskiner og tilleggsutstyr";648
"Sum alle sektorer";"95.120 Reparasjon av kommunikasjonsutstyr";175
"Sum alle sektorer";"95.210 Reparasjon av elektronikk til husholdningsbruk";215
"Sum alle sektorer";"95.220 Reparasjon av husholdningsvarer og hageredskaper";311
"Sum alle sektorer";"95.230 Reparasjon av skotøy og lærvarer";91
"Sum alle sektorer";"95.240 Reparasjon av møbler og boliginnredning";133
"Sum alle sektorer";"95.250 Reparasjon av ur, gull- og sølvvarer";48
"Sum alle sektorer";"95.290 Reparasjon av andre husholdningsvarer og varer til personlig bruk";306
"Sum alle sektorer";"96.010 Vaskeri- og renserivirksomhet";3119
"Sum alle sektorer";"96.020 Frisering og annen skjønnhetspleie";13794
"Sum alle sektorer";"96.030 Begravelsesbyråvirksomhet og drift av kirkegårder og krematorier";1890
"Sum alle sektorer";"96.040 Virksomhet knyttet til kroppspleie og fysisk velvære";1424
"Sum alle sektorer";"96.090 Personlig tjenesteyting ikke nevnt annet sted";826
"Sum alle sektorer";"97.000 Lønnet arbeid i private husholdninger";2351
"Sum alle sektorer";"99.000 Internasjonale organisasjoner og organer";13
