"13926: Lønnstakere og jobber, etter sektor, næring (SN2007), statistikkvariabel, kvartal og region"

"sektor";"næring (SN2007)";"Antall jobber (arbeidsforhold) 2024K4 0 Hele landet"
"Sum alle sektorer";"18.200 Reproduksjon av innspilte opptak";0
"Sum alle sektorer";"19.100 Produksjon av kullprodukter";3
"Sum alle sektorer";"19.200 Produksjon av raffinerte petroleumsprodukter";1030
"Sum alle sektorer";"20.110 Produksjon av industrigasser";583
"Sum alle sektorer";"20.120 Produksjon av fargestoffer og pigmenter";250
"Sum alle sektorer";"20.130 Produksjon av andre uorganiske kjemikalier";2012
"Sum alle sektorer";"20.140 Produksjon av andre organiske kjemiske råvarer";1650
"Sum alle sektorer";"20.150 Produksjon av gjødsel, nitrogenforbindelser og vekstjord";1607
"Sum alle sektorer";"20.160 Produksjon av basisplast";712
"Sum alle sektorer";"20.170 Produksjon av syntetisk gummi";0
"Sum alle sektorer";"20.200 Produksjon av plantevern- og skadedyrmidler og andre landbrukskjemiske produkter";6
"Sum alle sektorer";"20.300 Produksjon av maling og lakk, trykkfarger og tetningsmidler";1211
"Sum alle sektorer";"20.410 Produksjon av såpe og vaskemidler, rense- og polermidler";524
"Sum alle sektorer";"20.420 Produksjon av parfyme og toalettartikler";72
"Sum alle sektorer";"20.510 Produksjon av eksplosiver";312
"Sum alle sektorer";"20.520 Produksjon av lim";14
"Sum alle sektorer";"20.530 Produksjon av eteriske oljer";3
"Sum alle sektorer";"20.590 Produksjon av kjemiske produkter ikke nevnt annet sted";897
"Sum alle sektorer";"20.600 Produksjon av kunstfibrer";27
"Sum alle sektorer";"21.100 Produksjon av farmasøytiske råvarer";543
"Sum alle sektorer";"21.200 Produksjon av farmasøytiske preparater";2673
"Sum alle sektorer";"22.110 Produksjon av gummidekk og slanger til gummidekk, og regummiering og vulkanisering av gummidekk";156
"Sum alle sektorer";"22.190 Produksjon av gummiprodukter ellers";450
"Sum alle sektorer";"22.210 Produksjon av halvfabrikater av plast";1249
"Sum alle sektorer";"22.220 Produksjon av plastemballasje";1067
"Sum alle sektorer";"22.230 Produksjon av byggevarer av plast";971
"Sum alle sektorer";"22.290 Produksjon av plastprodukter ellers";841
"Sum alle sektorer";"23.110 Produksjon av planglass";37
"Sum alle sektorer";"23.120 Bearbeiding av planglass";368
"Sum alle sektorer";"23.130 Produksjon av emballasje og husholdningsartikler av glass og krystall";219
"Sum alle sektorer";"23.140 Produksjon av glassfibrer";587
"Sum alle sektorer";"23.190 Produksjon av teknisk glass og andre glassvarer";39
"Sum alle sektorer";"23.200 Produksjon av ildfaste produkter";17
"Sum alle sektorer";"23.310 Produksjon av keramiske vegg- og gulvfliser";0
"Sum alle sektorer";"23.320 Produksjon av murstein, teglstein og andre byggevarer av brent leire";7
"Sum alle sektorer";"23.410 Produksjon av keramiske husholdningsartikler og dekorasjonsgjenstander";103
"Sum alle sektorer";"23.420 Produksjon av sanitærutstyr av keramisk materiale";34
"Sum alle sektorer";"23.430 Produksjon av isolatorer og isoleringsdeler av keramisk materiale";37
"Sum alle sektorer";"23.440 Produksjon av andre keramiske produkter for teknisk bruk";0
"Sum alle sektorer";"23.490 Produksjon av andre keramiske produkter";3
"Sum alle sektorer";"23.510 Produksjon av sement";410
"Sum alle sektorer";"23.520 Produksjon av kalk og gips";110
"Sum alle sektorer";"23.610 Produksjon av betongprodukter for bygge- og anleggsvirksomhet";3333
"Sum alle sektorer";"23.620 Produksjon av gipsprodukter for bygge- og anleggsvirksomhet";211
"Sum alle sektorer";"23.630 Produksjon av ferdigblandet betong";1083
"Sum alle sektorer";"23.640 Produksjon av mørtel";57
"Sum alle sektorer";"23.650 Produksjon av fibersement";52
"Sum alle sektorer";"23.690 Produksjon av betong-, sement- og gipsprodukter ellers";83
"Sum alle sektorer";"23.700 Hogging og bearbeiding av monument- og bygningsstein";644
"Sum alle sektorer";"23.910 Produksjon av slipestoffer";0
"Sum alle sektorer";"23.990 Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted";2222
"Sum alle sektorer";"24.101 Produksjon av jern og stål";426
"Sum alle sektorer";"24.102 Produksjon av ferrolegeringer";1301
"Sum alle sektorer";"24.200 Produksjon av andre rør og rørdeler av stål";328
"Sum alle sektorer";"24.310 Kaldtrekking av stenger og profiler";0
"Sum alle sektorer";"24.320 Kaldvalsing av bånd";6
"Sum alle sektorer";"24.330 Kaldvalsing og pressing av profilerte plater og profiler";17
"Sum alle sektorer";"24.340 Kaldtrekking av tråd";0
"Sum alle sektorer";"24.410 Produksjon av edelmetaller";63
"Sum alle sektorer";"24.421 Produksjon av primæraluminium";4978
"Sum alle sektorer";"24.422 Produksjon av halvfabrikater av aluminium";1798
"Sum alle sektorer";"24.430 Produksjon av bly, sink og tinn";544
"Sum alle sektorer";"24.440 Produksjon av kobber";7
"Sum alle sektorer";"24.450 Produksjon av ikke-jernholdige metaller ellers";837
"Sum alle sektorer";"24.460 Produksjon av kjernebrensel";0
"Sum alle sektorer";"24.510 Støping av jern";309
"Sum alle sektorer";"24.520 Støping av stål";11
"Sum alle sektorer";"24.530 Støping av lettmetaller";77
"Sum alle sektorer";"24.540 Støping av andre ikke-jernholdige metaller";85
"Sum alle sektorer";"25.110 Produksjon av metallkonstruksjoner og deler";5954
"Sum alle sektorer";"25.120 Produksjon av dører og vinduer av metall";1419
"Sum alle sektorer";"25.210 Produksjon av radiatorer og kjeler til sentralvarmeanlegg";64
"Sum alle sektorer";"25.290 Produksjon av andre tanker, cisterner og beholdere av metall";415
"Sum alle sektorer";"25.300 Produksjon av dampkjeler, unntatt kjeler til sentralvarmeanlegg";167
"Sum alle sektorer";"25.400 Produksjon av våpen og ammunisjon";4525
"Sum alle sektorer";"25.500 Smiing, stansing og valsing av metall, og pulvermetallurgi";148
"Sum alle sektorer";"25.610 Overflatebehandling av metaller";2301
"Sum alle sektorer";"25.620 Bearbeiding av metaller";7204
"Sum alle sektorer";"25.710 Produksjon av kjøkkenredskaper og skjære- og klipperedskaper";28
"Sum alle sektorer";"25.720 Produksjon av låser og beslag";468
"Sum alle sektorer";"25.730 Produksjon av håndverktøy";109
"Sum alle sektorer";"25.910 Produksjon av stålfat og lignende beholdere av jern og stål";13
"Sum alle sektorer";"25.920 Produksjon av emballasje av lettmetall";0
"Sum alle sektorer";"25.930 Produksjon av varer av metalltråd, kjetting og fjærer";465
"Sum alle sektorer";"25.940 Produksjon av bolter og skruer";167
"Sum alle sektorer";"25.990 Produksjon av metallvarer ikke nevnt annet sted";2957
"Sum alle sektorer";"26.110 Produksjon av elektroniske komponenter";1088
"Sum alle sektorer";"26.120 Produksjon av kretskort";1109
"Sum alle sektorer";"26.200 Produksjon av datamaskiner og tilleggsutstyr";198
"Sum alle sektorer";"26.300 Produksjon av kommunikasjonsutstyr";1277
"Sum alle sektorer";"26.400 Produksjon av elektronikk til husholdningsbruk";105
"Sum alle sektorer";"26.510 Produksjon av måle-, kontroll- og navigasjonsinstrumenter";5550
"Sum alle sektorer";"26.520 Produksjon av klokker og ur";8
"Sum alle sektorer";"26.600 Produksjon av strålingsutstyr, elektromedisinsk og elektroterapeutisk utstyr";228
"Sum alle sektorer";"26.700 Produksjon av optiske instrumenter og fotografisk utstyr";105
"Sum alle sektorer";"26.800 Produksjon av magnetiske og optiske media";6
"Sum alle sektorer";"27.110 Produksjon av elektromotorer, generatorer og transformatorer";759
"Sum alle sektorer";"27.120 Produksjon av elektriske fordelings- og kontrolltavler og paneler";2589
"Sum alle sektorer";"27.200 Produksjon av batterier og akkumulatorer";637
"Sum alle sektorer";"27.310 Produksjon av optiske fiberkabler";67
"Sum alle sektorer";"27.320 Produksjon av andre elektroniske og elektriske ledninger og kabler";2600
"Sum alle sektorer";"27.330 Produksjon av ledningsmateriell";0
"Sum alle sektorer";"27.400 Produksjon av belysningsutstyr";660
"Sum alle sektorer";"27.510 Produksjon av elektriske husholdningsmaskiner og apparater";402
"Sum alle sektorer";"27.520 Produksjon av ikke-elektriske husholdningsmaskiner og apparater";176
"Sum alle sektorer";"27.900 Produksjon av annet elektrisk utstyr";1844
"Sum alle sektorer";"28.110 Produksjon av motorer og turbiner, unntatt motorer til luftfartøyer og motorvogner";1244
"Sum alle sektorer";"28.120 Produksjon av komponenter til hydraulisk og pneumatisk utstyr";931
"Sum alle sektorer";"28.130 Produksjon av pumper og kompressorer ellers";2716
"Sum alle sektorer";"28.140 Produksjon av kraner og ventiler ellers";468
"Sum alle sektorer";"28.150 Produksjon av lagre, gir, tannhjulsutvekslinger og andre innretninger for kraftoverføring";420
"Sum alle sektorer";"28.210 Produksjon av industri- og laboratorieovner samt brennere";180
"Sum alle sektorer";"28.221 Produksjon av løfte- og håndteringsutstyr til skip og båter";1567
"Sum alle sektorer";"28.229 Produksjon av løfte- og håndteringsutstyr ellers";1031
"Sum alle sektorer";"28.230 Produksjon av kontormaskiner og utstyr (unntatt datamaskiner og tilleggsutstyr)";0
"Sum alle sektorer";"28.240 Produksjon av motordrevet håndverktøy";0
"Sum alle sektorer";"28.250 Produksjon av kjøle- og ventilasjonsanlegg, unntatt til husholdningsbruk";1092
"Sum alle sektorer";"28.290 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";1526
"Sum alle sektorer";"28.300 Produksjon av jordbruks- og skogbruksmaskiner";1056
"Sum alle sektorer";"28.410 Produksjon av maskinverktøy til metallbearbeiding";34
"Sum alle sektorer";"28.490 Produksjon av maskinverktøy ikke nevnt annet sted";221
"Sum alle sektorer";"28.910 Produksjon av maskiner og utstyr til metallurgisk industri";76
"Sum alle sektorer";"28.920 Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet";2724
"Sum alle sektorer";"28.930 Produksjon av maskiner og utstyr til nærings- og nytelsesmiddelindustri";826
"Sum alle sektorer";"28.940 Produksjon av maskiner og utstyr til tekstil-, konfeksjons- og lærvareindustri";3
"Sum alle sektorer";"28.950 Produksjon av maskiner og utstyr til papir- og pappvareindustri";0
"Sum alle sektorer";"28.960 Produksjon av maskiner og utstyr til plast- og gummiindustri";48
"Sum alle sektorer";"28.990 Produksjon av spesialmaskiner ikke nevnt annet sted";1295
"Sum alle sektorer";"29.100 Produksjon av motorvogner";38
"Sum alle sektorer";"29.200 Produksjon av karosserier og tilhengere";1147
"Sum alle sektorer";"29.310 Produksjon av elektrisk og elektronisk utstyr til motorvogner";65
"Sum alle sektorer";"29.320 Produksjon av andre deler og annet utstyr til motorvogner";1549
"Sum alle sektorer";"30.111 Bygging av skip og skrog over 100 br.tonn";2253
"Sum alle sektorer";"30.112 Bygging av skip under 100 br.tonn";697
"Sum alle sektorer";"30.113 Bygging av oljeplattformer og moduler";7714
"Sum alle sektorer";"30.114 Produksjon av annet flytende materiell";445
"Sum alle sektorer";"30.115 Innrednings- og installasjonsarbeid utført på skip over 100 br.tonn";2367
"Sum alle sektorer";"30.116 Innrednings- og installasjonsarbeid utført på oljeplattformer og moduler";2441
"Sum alle sektorer";"30.120 Bygging av fritidsbåter";468
"Sum alle sektorer";"30.200 Produksjon av lokomotiver og annet rullende materiell til jernbane og sporvei";0
"Sum alle sektorer";"30.300 Produksjon av luftfartøyer og romfartøyer og lignende utstyr";391
"Sum alle sektorer";"30.400 Produksjon av militære stridskjøretøyer";0
"Sum alle sektorer";"30.910 Produksjon av motorsykler";0
"Sum alle sektorer";"30.920 Produksjon av sykler og invalidevogner";171
"Sum alle sektorer";"30.990 Produksjon av andre transportmidler ikke nevnt annet sted";30
"Sum alle sektorer";"31.010 Produksjon av kontor- og butikkmøbler";640
"Sum alle sektorer";"31.020 Produksjon av kjøkkenmøbler";885
"Sum alle sektorer";"31.030 Produksjon av madrasser";280
"Sum alle sektorer";"31.090 Produksjon av møbler ellers";2526
"Sum alle sektorer";"32.110 Preging av mynter og medaljer";14
"Sum alle sektorer";"32.120 Produksjon av gull- og sølvvarer og lignende artikler";405
"Sum alle sektorer";"32.130 Produksjon av bijouteri og lignende artikler";17
"Sum alle sektorer";"32.200 Produksjon av musikkinstrumenter";21
"Sum alle sektorer";"32.300 Produksjon av sportsartikler";365
"Sum alle sektorer";"32.400 Produksjon av spill og leker";17
"Sum alle sektorer";"32.500 Produksjon av medisinske og tanntekniske instrumenter og utstyr";2368
"Sum alle sektorer";"32.910 Produksjon av koster og børster";9
"Sum alle sektorer";"32.990 Annen industriproduksjon ikke nevnt annet sted";549
"Sum alle sektorer";"33.110 Reparasjon av bearbeidede metallprodukter";905
"Sum alle sektorer";"33.120 Reparasjon av maskiner";10364
"Sum alle sektorer";"33.130 Reparasjon av elektronisk og optisk utstyr";84
"Sum alle sektorer";"33.140 Reparasjon av elektrisk utstyr";670
"Sum alle sektorer";"33.150 Reparasjon og vedlikehold av skip og båter";4792
"Sum alle sektorer";"33.160 Reparasjon og vedlikehold av luftfartøyer og romfartøyer";1654
"Sum alle sektorer";"33.170 Reparasjon og vedlikehold av andre transportmidler";966
"Sum alle sektorer";"33.190 Reparasjon av annet utstyr";349
"Sum alle sektorer";"33.200 Installasjon av industrimaskiner og -utstyr";2890
"Sum alle sektorer";"35.111 Produksjon av elektrisitet fra vannkraft";6312
"Sum alle sektorer";"35.112 Produksjon av elektrisitet fra vindkraft";260
"Sum alle sektorer";"35.113 Produksjon av elektrisitet fra biobrensel";7
"Sum alle sektorer";"35.114 Produksjon av elektrisitet fra naturgass";0
"Sum alle sektorer";"35.119 Produksjon av elektrisitet ellers";252
"Sum alle sektorer";"35.120 Overføring av elektrisitet";2060
"Sum alle sektorer";"35.130 Distribusjon av elektrisitet";6802
"Sum alle sektorer";"35.140 Handel med elektrisitet";2463
"Sum alle sektorer";"35.210 Produksjon av gass";125
"Sum alle sektorer";"35.220 Distribusjon av gass gjennom ledningsnett";78
"Sum alle sektorer";"35.230 Handel med gass gjennom ledningsnett";0
"Sum alle sektorer";"35.300 Damp- og varmtvannsforsyning";699
"Sum alle sektorer";"36.000 Uttak fra kilde, rensing og distribusjon av vann";3189
"Sum alle sektorer";"37.000 Oppsamling og behandling av avløpsvann";3441
"Sum alle sektorer";"38.110 Innsamling av ikke-farlig avfall";6545
"Sum alle sektorer";"38.120 Innsamling av farlig avfall";408
"Sum alle sektorer";"38.210 Behandling og disponering av ikke-farlig avfall";1750
"Sum alle sektorer";"38.220 Behandling og disponering av farlig avfall";181
"Sum alle sektorer";"38.310 Demontering av vrakede gjenstander";146
"Sum alle sektorer";"38.320 Sortering og bearbeiding av avfall for materialgjenvinning";4131
"Sum alle sektorer";"39.000 Miljørydding, miljørensing og lignende virksomhet";155
"Sum alle sektorer";"41.101 Boligbyggelag";1869
"Sum alle sektorer";"41.109 Utvikling og salg av egen fast eiendom ellers";4455
"Sum alle sektorer";"41.200 Oppføring av bygninger";67982
"Sum alle sektorer";"42.110 Bygging av veier og motorveier";15241
"Sum alle sektorer";"42.120 Bygging av jernbaner og undergrunnsbaner";4909
"Sum alle sektorer";"42.130 Bygging av bruer og tunneler";3153
"Sum alle sektorer";"42.210 Bygging av vann- og kloakkanlegg";2157
"Sum alle sektorer";"42.220 Bygging av anlegg for elektrisitet og telekommunikasjon";4248
"Sum alle sektorer";"42.910 Bygging av havne- og damanlegg";226
"Sum alle sektorer";"42.990 Bygging av andre anlegg ikke nevnt annet sted";565
"Sum alle sektorer";"43.110 Riving av bygninger og andre konstruksjoner";1432
"Sum alle sektorer";"43.120 Grunnarbeid";29205
"Sum alle sektorer";"43.130 Prøveboring";3
"Sum alle sektorer";"43.210 Elektrisk installasjonsarbeid";39783
"Sum alle sektorer";"43.221 Rørleggerarbeid";19349
"Sum alle sektorer";"43.222 Kuldeanlegg- og varmepumpearbeid";2529
"Sum alle sektorer";"43.223 Ventilasjonsarbeid";4971
"Sum alle sektorer";"43.290 Annet installasjonsarbeid";3109
"Sum alle sektorer";"43.310 Stukkatørarbeid og pussing";10
"Sum alle sektorer";"43.320 Snekkerarbeid";8917
"Sum alle sektorer";"43.330 Gulvlegging og tapetsering";2297
"Sum alle sektorer";"43.341 Malerarbeid";7963
"Sum alle sektorer";"43.342 Glassarbeid";976
"Sum alle sektorer";"43.390 Annen ferdiggjøring av bygninger";628
"Sum alle sektorer";"43.911 Blikkenslagerarbeid";3222
"Sum alle sektorer";"43.919 Takarbeid ellers";2102
"Sum alle sektorer";"43.990 Annen spesialisert bygge- og anleggsvirksomhet";24761
"Sum alle sektorer";"45.111 Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler";1411
"Sum alle sektorer";"45.112 Detaljhandel med biler og lette motorvogner, unntatt motorsykler";14307
"Sum alle sektorer";"45.191 Agentur- og engroshandel med andre motorvogner, unntatt motorsykler";884
"Sum alle sektorer";"45.192 Detaljhandel med andre motorvogner, unntatt motorsykler";1114
"Sum alle sektorer";"45.200 Vedlikehold og reparasjon av motorvogner, unntatt motorsykler";29081
"Sum alle sektorer";"45.310 Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler";2731
"Sum alle sektorer";"45.320 Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler";4782
